Brand,Title,Selling_Price,Price,Discount,image_indices
Kook N Keech,Printed Round Neck T-shirt,399,799,50%,"['1L2SW6T9UrD73seA6_HAAMHTcb4Ki34_R', '1o_Z6Uxrixyx9TOd2oD5Age9Ptz6pOi9B', '1vtWYUnZrFME0hK4Ke7EQxgJbb9pKUxw_', '1seem6OJbvcaJQ1UcoKgLV-adYKZwZ_00', '1ohmN9ASqKaR4gz9if8wUiO2j1eg_Z3HD', '1B7lBYP3Ty_UBT6wiph9rQBsw9ljAS6C1', '1O4Qia96r8hY-pVtdETa2BNlR_3a2E6YO', '1k20qN0LxHAaQuCW28eGkBMh7hC7ov_D1']"
GANT,Solid Polo Collar T-shirt,4199,5999,30%,"['1bXStTCkJNnFjmjPLC1I4428z9GRzEUk3', '1-kzG_LlwYxnAKvI9cHmfVNwy_czrHX1F', '1vgKd64j8pYhIbDKz4kIuJJOWpM57E57-', '1BzOP2Zze9povFVlCkGt8E5yiZahFdFIT', '1rBvNEf5K9FhGTN8zljJLeds5qkAcok-4']"
Kook N Keech Marvel,Printed Round Neck T-shirt,359,599,40%,"['12oqT8hiLlUVDy_sQJ6mSdalUb6lIZ3vO', '1zwaYClOAQluSdwUV0p7T4AXp-2-HH_VF', '1HK8uJgVcFPQb7CUpvA-9FLogAGObGpZ-', '11vUTAMCWtnbYdPljrz3fLtQt6uuv2eES', '1BAzE5KZD7UwR0LjmEVPWbtofY-iRFJCl']"
Roadster,Striped Polo T-shirt,649,999,35%,"['1GZUnRrSE5M80utMGmLDsfhntlSlPpX2t', '1UgYg-HKFgMI8MvLXlS3SgYF_gkDR5oNq', '1ZGxwyfYd-x4ucC5yFfkKccTJozSOtBl7', '1Jpp_80sYhREnXnKj9Ja8Y_0TiC7zQ-ch']"
Beverly Hills Polo Club,Printed Polo Collar T-shirt,2899,2899,0%,"['1zUYZU6BeayUAbCjh1G0i3rIghlycDIwV', '1ePxDzXi4-vgeYnUxHFpSGxDVdgScxh4w', '1ze9fz4MKpnFK18eNqI2506pmcS39Uxj1', '1UfG637_GiINuycidLdvasxJ_ouFRQnM4', '1YvidhSG3ahSIBkcRwNxe-KjsW-Op7y02', '1RDnvUNQVIHE1oNgy8rhgstudkgnhEbVJ', '1EJPLcrZi1sEX2VoLnKkEmLsJHTYxOR36']"
Jack & Jones,Printed Slim Fit T-shirt,824,1499,45%,"['1yg6gqeQ-x_0qb_3A2eMpSu_ME2AId59n', '1_L9idFpp_QeVlwNZbZIsmT3-GcHfHg5Z', '1KjKbuqXroFoMfl-0t_MnHgydAPtoQaZW', '1Ae_edwlg47oJL6yHBn2rHPPZfWSGp6au', '1tBfUhg3m7EODWbEo556hXgGy02Gm4ksA', '1vtWYUnZrFME0hK4Ke7EQxgJbb9pKUxw_', '1PvB9PeAG8VbZHg5Amp0zpRgZRGJCMVie', '147LXZU_EyDOjkQ-lM-LvhT-R4HRlDhA5']"
HERE&NOW,Solid Round Neck T-shirt,539,899,40%,"['114dZJDVS6ClyFrVuN54lLIMIcLKSECSq', '1lnzZGSK1v7fTC_6kEd28_Jp-Lx3P9rH1', '12MNn_FZLdpU6OB1NF-sOpPJb7mHj0hHY', '1qkkT80-zv9xc68pYQCkMXsttkw9lP6Gd']"
Moda Rapido,Striped Round Neck T-shirt,454,699,35%,"['1QJUmu79atSI8DDs_f99wZzTVfYSc352a', '1Qoe0Is_tgH7lOaNTIpPfhxXdN9e_E0z8', '10b0EEwqZbWquKiTtz2arPE9MS7ahlhiw', '1SdhOmoL4xg5BGZ_u4seWzHGDHSML-4t8', '1m1y6teyKGpa_cItvHjOc4o1NcMRsRDSW']"
Roadster,Solid Round Neck T-shirt,399,399,0%,"['1L0qnbFRJI2NJls-dWZxe2vCZd9gSQO-r', '1Z1mMpNanIF9g76ZuRXGAz6M09b1wQV1C', '12Z0hCI41KErGq48Pm9W464VJMurJqE_X', '1rDGiaewySpborjwrc1WbZdXN-yjjsg7t', '1nllUiVLvwNv17ZY7JNo1YXu7ygGxcP5V', '1M7PtxlOan9mFod1a2l4iuJSy054kzn8A']"
Beverly Hills Polo Club,Solid Polo Collar T-shirt,1599,1599,0%,"['17thaxAlUHrRBQFWfBZCFif8SFZhvhG_3', '1rN-dP6bD3DDxyizsnoOh3thl-G0Yd3mu', '1lwIxPhCU3eTP2jbkqfxHo6a5pu3sR4Z1', '1i3MPLQKYD0H7EXvlVYioanlnTlE--iRA', '1q-zQMfMfHZZsavdiqJqMgmxcoeYtX7_K', '1qWW_1lSdqaB8cd2xavgGjn4F_eX57Enz', '1MT2VzwnaqKxubvbYON5adQgmfv9mBrCR', '1gRJs725BGVawVA0EyHiOHyMwTYx4LCyo']"
Superdry,Printed Round Neck T-shirt,2879,3599,20%,"['1ys3Rb6AspO9jZwfLqnnqtVVn1U8TVcOu', '1k20qN0LxHAaQuCW28eGkBMh7hC7ov_D1', '1rBvNEf5K9FhGTN8zljJLeds5qkAcok-4', '1SkiV19VTR2gdhhvGgvOuYvMcXGlMxBvr']"
Roadster,Men Printed Round Neck T-shirt,474,499,5%,"['1J5mW793QmMdpCe-jgRQo6B3YP0otrs_U', '1KjKbuqXroFoMfl-0t_MnHgydAPtoQaZW', '1lG7ykGTocFrnSUpnwTij-mGhaCoqQMc7', '1PTvHHlhTzaRFupHvddMV74ncOTjVNs1x', '1ZXiv_nWiiDNuxSze_ArORmfDTBvF741j', '1TE3TrCZUZW-Y7VYXK0dOKtq66soDDLn1', '1qzOPWHsagfKt9Cpp8KjJErmNuf3CqkPi', '1rg23vufvSez5qOpqH2jVedF1EdrUZgs9']"
