Brand,Title,Selling_Price,Price,Discount,image_indices
Louis Philippe Jeans,Slim Fit Printed T-shirt,1444,1699,15%,"['1QUEbL-lHEtFmJaqEIEJW9zdkvIGRL8vu', '1Q1I4WGIUNgw8QMEMbRfcoKQcFb22ALHL', '1L3yj4km9mdf2skM4XAsNoHS7xgrelwlE', '18FaywfJZYD4p39ddWh58OgCM4nYCzma9', '1UWsCqd8XxBXS-tUUqCSPDG1MbbkvJUc4', '1jQILRM19pEnzwI_bsxOH_ZoOWRcXEScB']"
HRX by Hrithik Roshan,Printed Round Neck T-shirt,674,1499,55%,"['1Ks4MgMCxYwyYDg49pLD0nkZR00uky_wC', '18gGVULl--frIjP3Z_eoe-6MQxOeR2-Ek', '1ouOse1JnD34-a3IePM2mhI8FFtU5Shln', '1qWW_1lSdqaB8cd2xavgGjn4F_eX57Enz', '1Ogge6S89ccf69dbeYi1j4ZIOsLYbCj4L', '1XYHWq_anJNmrgUTMQgI8uV1W18JIxFIH', '1vi0eKPb8nueJLYPlAzJusmdz-MvbHb62']"
HIGHLANDER,Colourblocked Polo Collar T-shirt,494,1099,55%,"['1oFo-c8T-yl0XjkIZh_GAEPpmVdNNv4Ea', '1_w7AOUmJRJYTdwd-cZYWOqSpptceiHo5', '1Ix4cdMJ-iaNum6jzcAAABrAqGkwWbTMh', '1Z94u3JZdI-jzc0RAJvDBaZQ63jCWOIuL', '1qJGLyO1euMgTDo4llgT8KiPFf_LHZuu1', '1qhECtXFCQ8qjd2c8IZwjBN6Vl0gLpSFc', '1SdhOmoL4xg5BGZ_u4seWzHGDHSML-4t8']"
Puma,Printed Logo Split T-shirt,779,1299,40%,"['1bX8gCHoIZLMoAHRcbmWotDAr8zezcLpP', '1rljiMLwDA9czU7PHseT5pxJYt058QELT', '1nzomkTXze2yL5RPw8vATFmOCN8daTAbW', '1PQJ2WBiKk0czVcJrOOYrLAEiVT6U-NgM', '1Bam42-SL5ybu4eSJrmjEwaRMqJpKD6-b', '1W-yClAQ_0D3NqRpaZqTVGIzljU8L02GL', '1aEqqgVjwNDWlJsDwGPsiVkyquHlWf3IZ']"
Roadster,Solid Polo Collar T-shirt,899,899,0%,"['131DOH1FP1ss38LYhfz1gbt7RPGj5ZMPv', '1TFdRtr_wfKR98pEt8UvR6FlxLOdCVF4v', '1AqTIJ-KMQrUPMxhwzUpeoew8TjTMrmU7', '1D7QQxiOXIaSR-FBjYLWj9t9CJ2ORhN-M', '1b6WYjvwCuYI7jVXHResPuofKdW2tZNFP', '1Z1mMpNanIF9g76ZuRXGAz6M09b1wQV1C']"
Harvard,Striped Polo Collar T-shirt,649,1299,50%,"['1_EFO87in4t9Hk_mkBzXNgcqeAyHpqcTT', '106FKa3jC_5oGhReO6vOF0r_o6zcbU8AO', '1DcQv80Lv75PTCbBjx1Ly5qAJpM9Fvl9t', '1weQ-Ki5EWCEOSKNyQ1_YvTVzdJ0Bbh15', '19QwvtO4xVHaOWK_0Cz9WnxcTXnKiT7Xh', '13SQ8V0GI5-c_mZxm4Ktq5t7wdZW0YcnI', '1_s8ikj1pHPi1PKcy_JL7a31yn4Z1ZOGC', '1b1rPLmuVh3TyqyKtwKecl6TUvhkIBAqA']"
VEIRDO,Colourblocked V-Neck T-shirt,499,700 OFF),Rs. 700 OFF)%,"['1L3yj4km9mdf2skM4XAsNoHS7xgrelwlE', '1LJz8zyiGy87bGud0htEOU6o9pQeoxzXw', '1LJz8zyiGy87bGud0htEOU6o9pQeoxzXw', '1zMLG-nD40_wxJtHJAZtpxFeHpyDHKicH', '1g2WcR8QR6IsfAvgxmAbocL0tVb8eufnK']"
Roadster,Pack of 2 Polo Collar T-shirt,1199,1199,0%,"['1wlvAdiYM2hYhFYcULCnDCw5kxLXnkgdq', '1I_pIMHs8WkfK_cFqSy9CnnqNwCpIpf5u', '1hPgU0nKtJEDt90InrrohtFdpp5--MhlK', '1UCfLalO_CQXCQ-jMQes2nm82MyyT2Rj6', '1r7lqrqqdVUkvbSWIyCKZNeMDOGshWe3h', '1X8gBKQOplVxjxXsN2eILHRZ3XTmhsvBu']"
HERE&NOW,Printed Polo T-shirt,519,1299,60%,"['1zszH0VYOAId0usxhyCXQcPaATgSgd0Ir', '1VFtDzcwf7zBAbka3M230dwF6Y_JAvzin', '1MT2VzwnaqKxubvbYON5adQgmfv9mBrCR', '1lnzZGSK1v7fTC_6kEd28_Jp-Lx3P9rH1', '1vLdCmbcXQnWVOyHhN1vqayPCoMq5VJTJ', '1VryjstPmyQiwk9fiB_Z9tNWKMnUjoVDR', '1BPXscBOKfbEE_Ku4AzjYch0PXXJcvUM6']"
WROGN,Men Solid Polo Collar T-shirt,839,1399,40%,"['141BVeSIP9hOXC7c1QCOMQjzASTKOgm11', '170R07jYE1BwxPdIDswkwdoksszvFSQOG', '1UAaS9w7S91uFfYF7H1hmPS7tzyKvGfK5', '1lTv6Vi5EkS5R6s0QxFoHWEYwalIWnS5Y', '17vGPU6kJqS7sqBf0_ylWpqTMF1rFcf6X', '1YvidhSG3ahSIBkcRwNxe-KjsW-Op7y02', '11YwMRORVKkIwpqpEKZa3XuGdmqP0SWFE']"
Lacoste,Tshirts,5100,5100,0%,"['18qlevUlQzT1-PABzDuu72i-EbD-AMuM2', '1XyxeA_DXOtuyh6HU17TGnJtZMgaT5Xhl', '1BnpQDnhEh90lJcpiZbYUSzNQBIjlguKV', '17wYIRUUrIdeThddJK6xNoti9DGtmzoLF']"
H&M,Long T-shirt,699,699,0%,"['11RMLeBpELH5m227d7mqhv6YcyG1D419v', '1W9dm9JNrHLhGdQDt-0Xazi2aldcc-435', '1mJ192M9S5lCK8kw3I8B20uVbdcIBXpcc', '1bLGY4Kv-wDBpWhIkqRjT4W8OIxFlfWlP', '1ZVuRHVUjsEDq98AtbGAFzzIXaMPtBS-O', '1TLS5z1H9Gfo40xjxX3ExJklr-q6RACi8', '1IZUSHdocv3dqtXIEbYWrUHqbGXAaY6P5', '11rSUOtjn4wORo31S3iAyxpHq4mvJX-Tp']"
Jack & Jones,Slim Fit Round Neck T-shirt,719,799,10%,"['1DyeSHR75UVCW-LQpKgFw0U4cczqrxqwV', '1Ae_edwlg47oJL6yHBn2rHPPZfWSGp6au', '1rDqrnuMRLmXPIXSemGLW8654yqBTBLKf', '1jTViwWS2G8d4WDknvMmUu43BCE45jsAA', '1ChRdMaahqvOEIohUSdrJf8rMButcnEEI', '1iI72L0yU5U7cCmb9ggrbm2bdc5pYVIxM', '1e5IM_wQ0hS0UJNLYy7BDi-7g59OvzUnM']"
Superdry,Solid Polo Collar T-shirt,3199,3999,20%,"['1p0i4BCs1CnoPtoj2yU-m4RjCGt2Mlxrv', '1rDGiaewySpborjwrc1WbZdXN-yjjsg7t', '1eGRMTCtD59EWgKoCX8-cAUzVDwxHc258', '1BAzE5KZD7UwR0LjmEVPWbtofY-iRFJCl', '1jq6xLIPH0pIbu-UXQDZXgpyIB7_Fi78v', '1yZdflA5j40p5Gs3t6T-TMPUikcM3mHDP']"
Mast & Harbour,Printed Round Neck T-shirt,279,699,60%,"['16NrMgF0FKJUOOH4C_V1Ki-qLkb-EeI0l', '1A8ksMD13PoCwcFWBmYyOWfdMj1R-OUbi', '1CyVYALt2CJXpGns8CdFk3zU6gxOPqiKs', '1wl0FZMQs-_x0IuwYMYQF2x8bAaSWduh8', '1ybaxYriUaoVuOAMhW96SChbgzP9iobuq', '1VaMwpU749RI8omdT8vyL50chYVmOt0es']"
Difference of Opinion,Colourblocked Round Neck T-shirt,499,999,50%,"['1kZgc2vsO6z_SDucyweX0SrymtvRQEA4c', '1D8wbNoL36bZbk833tdnm62ayz6UxwQMs', '1XB9nHa0t2AxSpM-1czqi8YWjl_neePT6', '1MW1WUozeTOF3M-Pj1BbCxd4rEInBFHFg', '1ZXiv_nWiiDNuxSze_ArORmfDTBvF741j', '18FaywfJZYD4p39ddWh58OgCM4nYCzma9', '1sQKn21ho-4aZazl_yrJTuw4-v1wvPIML']"
Peter England Casuals,Striped Polo Collar T-shirt,789,999,21%,"['1XQrwxHDUtHs1ceA5ljdbz93lCQgDzNcb', '1Thbd2qrxXKA_imzhwZByulTv25JSTOP_', '1twIt8S1a83L8hdqdl3q2HHwNBom6Nz_g', '1pzWJRU00jD85BGuXryyOiVHPEeZv-mYc']"
HRX by Hrithik Roshan,Printed Outdoor T-shirt,649,1299,50%,"['1p0i4BCs1CnoPtoj2yU-m4RjCGt2Mlxrv', '17thaxAlUHrRBQFWfBZCFif8SFZhvhG_3', '1JDpqNa8TTV1mubhxYnx0yWcnO0ZIpCdL', '1dYvyPAASq7btGAy_o92SyCIEPKEKCb1D', '1SF_M6Ut2zAxcvxh_ORC9YVqcgTwcWy3G', '1ZsMjwqaUD9b2JBMaSjPIn8dYjZF3bzC7']"
HIGHLANDER,Printed Slim Fit T-shirt,290,549,47%,"['1rQp9kKXnIuvf1uUOpus5KAgLVvFIjmDn', '1KjKbuqXroFoMfl-0t_MnHgydAPtoQaZW', '1Qoe0Is_tgH7lOaNTIpPfhxXdN9e_E0z8', '1sxDrnY-bqNbgU2RUQbGKlY5RsP--Xj89']"
Jack & Jones,Printed Slim Fit T-shirt,824,1499,45%,"['1_-Af3srIdAjWnO30Cg9iU64JohBqH9e2', '1wlvAdiYM2hYhFYcULCnDCw5kxLXnkgdq', '1QXl-fDXIO3RS3G7RNyLZIUqZxMs_YL8K', '1jTViwWS2G8d4WDknvMmUu43BCE45jsAA', '1QEdxMog0tJ4Gda7Fb3xv6-rOa27BsbbT', '1oVJ8qwzLJnS20BvwaaS6LJndYWe6JoaR']"
Moda Rapido,Printed Polo Collar T-shirt,659,1099,40%,"['1-xKZVMxzb2nZZWOTOBhFE8YajSef0WZE', '1EFxx5BCD5hV6USXtXDI1K-2DvVYLscIu', '1PQJ2WBiKk0czVcJrOOYrLAEiVT6U-NgM', '1h1WtPbCt5h7z6uOPk_7b9F1ftwojyfLw', '1F7qnBsTgfLoFoyiYGGUPzwMv1nQpC_20', '1thi6qZlHouvGgDo8JypdA2UC4pbaGb5h', '1MQd1IX21NwGbD0Hyuu5hl4NrmJJ4FkBp', '17Hcu56BB8b-WcvGJiir46g5xRdAE2YQx']"
HERE&NOW,Colourblocked Round Neck T-shirt,319,799,60%,"['1PvB9PeAG8VbZHg5Amp0zpRgZRGJCMVie', '1F0FeYbP6xnsOtDWXlgCDbMW5y752JTA1', '1vyJe_HTE8MeAJ_HTojc08XP3_bubzg_h', '1L7pydrNEMJyTsb1dhOW3RYQsMAuEjnmY']"
ELEGANCE,Solid Hood T-shirt,321,1399,77%,"['1oVJ8qwzLJnS20BvwaaS6LJndYWe6JoaR', '1BnpQDnhEh90lJcpiZbYUSzNQBIjlguKV', '14RxGWA-PEngDS0QnzkJ6XxU6PjTqrxEH', '1Wio8Plm19FdICMcdBlLgTtqDIPM0Nvaz', '16W-3Y0PxoPOefIgDMcyG_HntvNsc7c1s', '1AprXLDFJHCxsnzd1Ai7N5j3tOSD2JTQ8', '1BcDqeKOpVXe0HUdZ1Scame00yAmrxIDL']"
Superdry,Solid Round Neck T-shirt,1359,1699,20%,"['1jTViwWS2G8d4WDknvMmUu43BCE45jsAA', '1M7PtxlOan9mFod1a2l4iuJSy054kzn8A', '1HMXN7VVLw6U3Z49rFj0YcpCBt4K-FuWU', '1M3MnMg2VTI0iDP3SmOfAqc6o4plp2iUb', '19e3w1n3SrGq3hHKeG3PHHzuUSKSJgScj', '16W-3Y0PxoPOefIgDMcyG_HntvNsc7c1s', '1DfPbJ_ARqfRJIyYt3VoXbsGT4XC1FZKF']"
Harvard,Solid Polo Collar T-shirt,439,1099,60%,"['1ew847AXoFuwjzMCa9BBs5QtDc3VgV7x5', '1LJz8zyiGy87bGud0htEOU6o9pQeoxzXw', '1BAzE5KZD7UwR0LjmEVPWbtofY-iRFJCl', '1MqDs5Yz4xEoi0Px78IZfpzUBqUazd2ze', '1optlUr0FGy1qnCJA4Cuvkr6pNfVOVV8j', '1QbtccGNVN6_Rf2chW-OwtIRxYzUDECBQ', '1DmGfGp6xSYFt4o3IK_qBl7WXKBgKK6sR', '1lVP-ZVC5sxHtqQekx4sjtWkjtVkcevaL']"
Sztori,Solid Henley Neck T-shirt,649,999,35%,"['1UCyfcgmG1bE05wkgPENgc7xrefbh5ZDP', '1A6b3KiNzmTBDz0e3HMud0SBJ8z37Mp68', '1eN1rz5-pBR7S81Xn_pZ2KazQZr6YSS8Y', '1UfG637_GiINuycidLdvasxJ_ouFRQnM4', '151kJH6hNTtJAJAtkwiBz3OBddrK8Ipl-', '19QwvtO4xVHaOWK_0Cz9WnxcTXnKiT7Xh', '1ePxDzXi4-vgeYnUxHFpSGxDVdgScxh4w']"
Cultsport,Printed Round Neck T-shirt,499,999,50%,"['1X9Q4weOqzknhH9OF4a8bgVTgjD7FYtdA', '1vh2hckzBtOYLmtxTr5bi0cqIqJWycQ9L', '1nzmrK1ldYjoDK4jE107xLdtRkEQgRjNo', '1_SQ46yjs2we4UGYy8A9aJiMcsBUuiGsi']"
H&M,Solid Slub Jersey T-shirt,799,799,0%,"['1BX295OQb_9hyaVW8wGE_3Dzp8WSMBamL', '1UzpS7X39Yc_ujz57URtrDTRqBmUTj9XQ', '1qJGLyO1euMgTDo4llgT8KiPFf_LHZuu1', '1iP8MP3dyw35RnjiUcVobFVnG-PDksUWw', '1HtpCfRPNgKnaZLP4r49tQ6DeJHur3rgk']"
Roadster,Solid Round Neck T-shirt,359,899,60%,"['17wYIRUUrIdeThddJK6xNoti9DGtmzoLF', '1TjWJSgpE7PMsvsIrgyp4PKyWHCifQRU8', '1SZdpgKBWoo1W6EJmXsEYgYR4V3qw0Is9', '1Km2X-G56rUPHZmnw2zvEAqR_j_oEsly_', '1yKq4MnAONeAINMUmoubXjEI05vjH_IGW', '141BVeSIP9hOXC7c1QCOMQjzASTKOgm11', '1lrj6t2sQ3aKimpD0pCY5GaManNzIe-TS', '1wlvAdiYM2hYhFYcULCnDCw5kxLXnkgdq']"
HRX by Hrithik Roshan,Yoga Bio-Wash Tshirt,699,699,0%,"['1rttWfpDhi6UD92SLdPGAreRqsYk6yOJu', '1VryjstPmyQiwk9fiB_Z9tNWKMnUjoVDR', '1UJnBIGquOzGG4FsqdfdbpcLCEPLfoRFu', '1rTzi1KBaSCVkbT5EerSN3Nmoxv6oWCal']"
Puma,Men Slim Fit Advancer T-shirt,779,1299,40%,"['1niKtnJPHvDdS6Yb7fpmEmzp9ATEGyaid', '1gof8IM3zdgv3aHPPvZ1Y3IUUdJ_oxjZZ', '1Uk2-64XfecNLJllv2oAONExx_M6BEJ8u', '1qJGLyO1euMgTDo4llgT8KiPFf_LHZuu1', '17vGPU6kJqS7sqBf0_ylWpqTMF1rFcf6X', '1kZgc2vsO6z_SDucyweX0SrymtvRQEA4c', '1iI72L0yU5U7cCmb9ggrbm2bdc5pYVIxM', '10jnxTl7DHBiGhzn31Zrh_JrVtlIEpDin']"
H&M,Men Chest-Pocket T-Shirt,999,999,0%,"['136jQXwrdrb5ocFd7IFXuz7HcV1pStTFs', '1pEc-G8hKqdJmOVe1rAuCkhslnMASpbH6', '1SdhOmoL4xg5BGZ_u4seWzHGDHSML-4t8', '1zszH0VYOAId0usxhyCXQcPaATgSgd0Ir', '10FuRshOnesU1NbhBcLInCgqqGWdRViO_', '1BAzE5KZD7UwR0LjmEVPWbtofY-iRFJCl', '1AjMruQPcu8Qr7ztHGIUpT0EEEFSqWX_0', '1A689ZnInae_syzXYTf3QC3uzlXFt2Edz']"
GANT,Printed Polo Collar T-shirt,3499,6999,50%,"['1VaMwpU749RI8omdT8vyL50chYVmOt0es', '1fKYEUnf1V-L8KNGRuWvngKasee3ysF1E', '1QJUmu79atSI8DDs_f99wZzTVfYSc352a', '1IbTmEyWfb3K4zKbtr5caSyu3iwfGGr-Z']"
U.S. Polo Assn.,Polo Collar T-shirt,1234,1899,35%,"['19DXktJ2O8DYmScb-v2QGMj4HpAZ6gO18', '1lef0AiRV3uIm5H_SfM9-1UUhNQqwlTl1', '1rdW80out5Ow3ao5Fu24vKKkUszWQMp4u', '1yg6gqeQ-x_0qb_3A2eMpSu_ME2AId59n', '1oVJ8qwzLJnS20BvwaaS6LJndYWe6JoaR']"
HRX by Hrithik Roshan,Ultralyte Running T-shirt,989,1099,10%,"['1fxp54eiXlMSw0xxdA5MI0IfrhTDLf2kA', '1foGkhG5sjCX-TzHt7f5mknkDTyHWPlgJ', '13V6_xfqCszoHeliaXbjmsVRSjqzD1-na', '1L7pydrNEMJyTsb1dhOW3RYQsMAuEjnmY']"
Jack & Jones,Solid Polo Collar T-shirt,714,1299,45%,"['1LB5YCUovCCq5nDYjkKnT66hK_2XEDZwy', '1JH_e3KdY_FmItlxWkGA-qPDTZeu8TDMz', '13Rzf5Q8TyV1X3uMp2GLX8cjXjQoiRO08', '1bX8gCHoIZLMoAHRcbmWotDAr8zezcLpP']"
Roadster,Colourblocked Polo Collar T-shirt,949,999,5%,"['1ePxDzXi4-vgeYnUxHFpSGxDVdgScxh4w', '1P0-tC1zLrYJlmR0r9fCa6WcXM6M4xaCy', '1DUQRlyIxRA50-tc0_dSGOA_8CppHJuvX', '1sQKn21ho-4aZazl_yrJTuw4-v1wvPIML', '1YIttdbBZt7ei4xZLJ-C_P25zGoX5xuFk']"
Campus Sutra,Colourblocked Round Neck T-shirt,269,899,70%,"['1rkNVV7UwUSJCenMMNqTyQXqWiZR4ijSX', '1bX8gCHoIZLMoAHRcbmWotDAr8zezcLpP', '1ulI139-iTqpzeWtLHmMdYw66mCsDzzGE', '1nBvVQsdHEmDMhQi9hg5TCHq78rISBRdx', '1CI9bOf1UdU5SkFqehfu0Vre07c_MgvRZ', '1GsIFR9OPOcSSwHD1zXe3GRnifdvf5-RB', '1xWtpv95ICpIur0irtanAmCQdHTUJoky0', '12oqT8hiLlUVDy_sQJ6mSdalUb6lIZ3vO']"
U.S. Polo Assn.,Polo Collar T-shirt,1234,1899,35%,"['1tT3RyCm0UwZcTr9dbNCbhh4YujYVXcbC', '1UCyfcgmG1bE05wkgPENgc7xrefbh5ZDP', '1PLREXKD-imEvm1EBbJse-KvX7DhtqX2f', '1thi6qZlHouvGgDo8JypdA2UC4pbaGb5h', '1_SQ46yjs2we4UGYy8A9aJiMcsBUuiGsi', '1tmuOUHqEY8WrUPI6zp7LyaI_ivkLw2pt', '1964Z4AVwvI0sSLZOjGtHidPCm83oQOVU']"
HRX by Hrithik Roshan,Ultralyte Running T-shirt,989,1099,10%,"['1DHtoX1p0T_7zyutXbxl22_QgC5kK-805', '1BzOP2Zze9povFVlCkGt8E5yiZahFdFIT', '1WXlQE1UVRs-sY7xzW0zSmxGf2EZT_IXr', '1afYgHdYPKkdWBIXpx771skegvEPVZ14H']"
Campus Sutra,Colourblocked Round Neck T-shirt,269,899,70%,"['1-4ir79-86YSZPoQK3ATz_iEGZ8OOM6li', '1vi0eKPb8nueJLYPlAzJusmdz-MvbHb62', '1gO6I8aaEjD0xACDZvSHNh4DfemTNqtus', '19V7Hp2cmF6wZN0BwKfJmZBsacvzXVKaG', '1lVP-ZVC5sxHtqQekx4sjtWkjtVkcevaL', '1YuFTfU4gbkUvfTVwFLBgdUcjx6-bjAp9']"
Superdry,Men Solid Round Neck T-shirt,2399,2999,20%,"['1JBWinTwuQ-bD-XoYeQ0OU6liEIvOOlZP', '12MNn_FZLdpU6OB1NF-sOpPJb7mHj0hHY', '1vh2hckzBtOYLmtxTr5bi0cqIqJWycQ9L', '1Wh5YesR66DqdM4jeEk-rxTDoykwKurSy', '1E670gpPBA1Ci7sT-ofsOpk42YyFE5pyi', '1bBir0xSOlh0d0-2aSL2kmo6k_jlU7rFt']"
WROGN,Printed Slim Fit T-shirt,599,999,40%,"['19QwvtO4xVHaOWK_0Cz9WnxcTXnKiT7Xh', '1QUEbL-lHEtFmJaqEIEJW9zdkvIGRL8vu', '1Thbd2qrxXKA_imzhwZByulTv25JSTOP_', '1Rq7s4-TwN0NIrEYrdb2bq3W_mN9ktw1M', '1V7Dz7k-gfWnpQDQz6XWGOWocdKOg-Gkb', '1bXStTCkJNnFjmjPLC1I4428z9GRzEUk3', '1OELvxxqPYrxRBGoh_vyo-Rg6PC3eonrn', '1QJUmu79atSI8DDs_f99wZzTVfYSc352a']"
HERE&NOW,Solid Polo Collar T-shirt,479,1199,60%,"['1tXZCIhoE0JK2ycU76rFHiirmsP0pRMSS', '1Q6usKqWg0ZvAIqUy8nsvdK3VJcM1cLJ-', '1fKYEUnf1V-L8KNGRuWvngKasee3ysF1E', '1pVSLSL6BeGdFTeyGpDoKYFkkKB1os1DS', '1tm-Y45isy1oMgFtGOgcsTQxEAHjTxtrj', '1s6xYTYgm7-qVTtaZ93IFQLU6V1zcRIL7', '1zLzqEjo3bcZuP8lUiMQNeEDJ0WJWWfPN', '1g2WcR8QR6IsfAvgxmAbocL0tVb8eufnK']"
Mast & Harbour,Striped Round Neck T-shirt,319,799,60%,"['15IHjP7GQF3ciN7b3KjIvEYHnQ4C4uJjT', '1YrHg2x_BbybfOPwzG_YrTxJFc1NVRW_u', '195-bWfNrkB6ux7HHY1yRBI6RqIBy_EDY', '1Ti6GISg_P9C1-hF8RjRFfRhfrdPbRQYY', '1amrG1J6Ho5x-bDQ9aWelYfU7VRPugtmj']"
H&M,Round-Neck T-shirt Regular Fit,399,399,0%,"['1mJZ02s-Tx8bgFFcuEbkenZe4hg-5d72n', '1TE3TrCZUZW-Y7VYXK0dOKtq66soDDLn1', '1WmmCYZaymlgjVyQ-xHy0qAHlUPiFgaBT', '1qhECtXFCQ8qjd2c8IZwjBN6Vl0gLpSFc', '1usXzCjvb1S5betPaVD89ULBjmOESaW-H', '1d__y6RebIatDstC7Zaw5wEznb0c-O9W2', '1UCyfcgmG1bE05wkgPENgc7xrefbh5ZDP', '1ztYb4bO-istADcWn9f05J1yair80Kch7']"
NEVA,Solid V-Neck T-shirt,253,506,50%,"['1lef0AiRV3uIm5H_SfM9-1UUhNQqwlTl1', '1vLdCmbcXQnWVOyHhN1vqayPCoMq5VJTJ', '1XdP_WzbVCAVWb6g7OylOOLX8zqPDbfpy', '1niKtnJPHvDdS6Yb7fpmEmzp9ATEGyaid', '1cjGZIm6rfyIDBoUWBPbouzvoB4N6i-Sq', '16W-3Y0PxoPOefIgDMcyG_HntvNsc7c1s']"
WROGN,Solid Slim Fit T-shirt,584,899,35%,"['1CyVYALt2CJXpGns8CdFk3zU6gxOPqiKs', '1pEc-G8hKqdJmOVe1rAuCkhslnMASpbH6', '1TOJp_GBEwG1Dy00ssdUgNTb95NGdSQ86', '1K5qVULRAk1IryJAsH5OFsyGcEQlnMVnr', '1r6lGtGcs2CzV99RAdmHAWeoqXQ1USouh']"
HERE&NOW,Striped V-Neck T-shirt,399,999,60%,"['1seem6OJbvcaJQ1UcoKgLV-adYKZwZ_00', '1IX4y0YguDR8e126oceGusRV2oG09Nv0D', '1qJGLyO1euMgTDo4llgT8KiPFf_LHZuu1', '1Devo_L8ywhjhbjDHb7nebWz98urUtjxn']"
United Colors of Benetton,Men Round Neck T-shirt,659,1199,45%,"['18wq8YjbjxT4BjKSRGLoS_VJh_WQ5iImh', '10I2LCb1J0g-1SNDoKeaCY6HthKI-59d7', '14FUZXljEQKoTDgQFNKiG--3lH_3MlEx3', '1dYRSJAoQj7bsRevrwsoopHePvo4bEaVG', '1ZNfaLbxHtrlpkrfFozT3cHejiXeWUfb-', '19e3w1n3SrGq3hHKeG3PHHzuUSKSJgScj', '14FUZXljEQKoTDgQFNKiG--3lH_3MlEx3']"
Superdry,CITY SPORT Polo Collar T-shirt,3679,4599,20%,"['1cc5gaMBpK1zI4g3tVkOCKSe8Ny03-zaK', '170eoN-1ZHSe3RhlFBgjty3VD3m6yPiMy', '1L2SW6T9UrD73seA6_HAAMHTcb4Ki34_R', '1-QncQy8MlkDZle086le5ONOKL3aK3BJs', '1g2WcR8QR6IsfAvgxmAbocL0tVb8eufnK', '1HmeqpDE4ofuqQMApEG64KrXUzx--5dJE', '1gVghTKy0Hxc1q9DbSJ30r_fi7GRjYwz5']"
WROGN,Printed Round Neck T-shirt,599,999,40%,"['1s81uI78gRSDPaJlGlJJO5MM_Nxn5WVv1', '1U5lb4m8bX5ZwJJG84toxQVh-d5DyYfnS', '1h1WtPbCt5h7z6uOPk_7b9F1ftwojyfLw', '1ylEtnv5sXLhpZg5TDUp6KAYWXP9eXp_y']"
Red Tape,Solid Polo Collar T-shirt,624,2499,75%,"['1FeLNtw_rzK-4C9ZPUb8fZcUlnD4W6wt3', '1BzOP2Zze9povFVlCkGt8E5yiZahFdFIT', '110J6jSv1VOiMnssXhJOCps6tG8nr1nOP', '1gQmQdrcvdDbxmCKyokPQ-dCCe9Y8SVg7', '1lrj6t2sQ3aKimpD0pCY5GaManNzIe-TS', '1b8J90ltbckcVjHAs_SUP-K5jZRUZverN', '1vnwIdNjVZQSG_EQd51KiYGoGzHK-cFVv', '1UJnBIGquOzGG4FsqdfdbpcLCEPLfoRFu']"
Puma,Printed Logo Split T-shirt,779,1299,40%,"['1W-yClAQ_0D3NqRpaZqTVGIzljU8L02GL', '1CI9bOf1UdU5SkFqehfu0Vre07c_MgvRZ', '1Dl6wEJ9vnaAp_ahzmBvtf-3mirvNA2bp', '1L3yj4km9mdf2skM4XAsNoHS7xgrelwlE', '1EOQE2z42kev3bRKGvqSWEkRnSeM0du8P', '1dnFQ0U1i5NDZGETq0tgkEBcpiZ5MyLds', '13Qj51CoedMZfK9xRhaXmP0DXhqTKTDPP', '1KbTjAV-4tC9I5rQW9icbmWItuLw5roP6']"
Jack & Jones,Solid Henley Neck T-shirt,1169,1299,10%,"['1IfA5Hmjh2DvYBJ2pYlHzLuSmg8RbQ2d5', '1WWgqMyInYoNkz-c0_xLMKHv3FmPP3rz3', '14yU7ZMAa_bPH1GSggIccwN6Zow9BsUle', '1qkkT80-zv9xc68pYQCkMXsttkw9lP6Gd', '17Hcu56BB8b-WcvGJiir46g5xRdAE2YQx', '1N9QKUm-foYv0dWYI5MRJFXnMQkC_nQ8U', '1lnzZGSK1v7fTC_6kEd28_Jp-Lx3P9rH1', '1E670gpPBA1Ci7sT-ofsOpk42YyFE5pyi']"
Indian Terrain,Striped Polo Collar T-shirt,824,1499,45%,"['1YraSlu_5WPVHiArK9TwDWiuVbUpdw9t6', '1hS3yx4PsXsk-_QSNS7-kwdOrZwGk9tbh', '1MFTUORixz1yi8dmi0IcRVJpnAeq1KnV-', '13SQ8V0GI5-c_mZxm4Ktq5t7wdZW0YcnI', '1Q6usKqWg0ZvAIqUy8nsvdK3VJcM1cLJ-', '1lBnIw52XZKYCNNhI1jxNncNSlrYpHmp5', '17LrdatbX3APSpCF9gzj01PXrJBaItBtK', '1Uw22EAeeGhO0s1ifkaIVkv31ypKBwusR']"
ADIDAS,E 3S Solid Round Neck T-shirt,1399,1399,0%,"['1VCJdZyg8Qcmi5VykM_JjwJxq28_T3xbN', '1eMR7fn5qhOTqMEkB61Y1q-_R42DAy_wj', '1SdhOmoL4xg5BGZ_u4seWzHGDHSML-4t8', '1ZMCTm1Ua1m2ES8LSIrJSNKf2oHMe-iID', '1EjX8eSpH407ynHmI_S2yel-z9T2GMODo', '18qlevUlQzT1-PABzDuu72i-EbD-AMuM2']"
Harvard,Solid Round Neck T-shirt,419,699,40%,"['1DyeSHR75UVCW-LQpKgFw0U4cczqrxqwV', '1F2oWn82ADFipc5IH6rvCZSCOB6YsSR1i', '1GJUuqUE-bA7cxZMISaj_2_-MT3FPAShE', '1ZNaRF6FY-xL0AxjVzoQvq2lZIUqz5vd2']"
